Longitude,Latitude,Temperature,Humidity,Pressure,Precipitation,CloudCover,Threat
88,34,11.31,52.57,996.95,0.52,98.67,0.379471
53,26,35.31,70.27,997.98,,48.87,0.338409
51,37,29.71,77.1,1001.86,,3.33,0.327806
-9,40,18.01,88.73,1019.02,0,15.8,0.899652
106,33,22.35,86.83,1003.65,0.07,0.63,0.912022
29,46,23.65,59.17,1010.11,0.01,47.53,0.491406
47,46,39.81,14.87,1001.94,,26.8,0.108483
117,28,25.45,77.03,1003.98,,2.57,0.402763
-25,46,18.05,79.47,1011.15,0.26,45.03,0.663057
-40,40,21.65,71.87,1024.55,,0,0.233828
119,36,23.01,92.13,1011.88,,90.17,0.764919
64,35,29.41,13.9,1001.69,,13.13,0.081935
41,49,36.08,28.3,1000.98,0,72.03,0.20376
-42,49,14.75,91.97,1016.29,0,100,0.477575
53,32,35.11,9.03,1002.4,,2.47,0.010602
2,31,40.21,8.5,1013.28,,,0.089231
-35,31,24.21,68.5,1025.35,,,0.753796
34,29,30.41,23.3,1009.14,0,0,0.251259
73,43,24.85,44.33,1002.06,0.06,100,0.477129
70,26,41.75,23.13,990.3,,0.5,0.193047
-22,45,18.15,79.07,1012.91,0.03,100,0.467466
111,36,18.55,96.4,1008.89,0.12,83.07,0.837773
97,27,19.25,98.13,1004.06,0.66,99.8,0.854268
30,39,29.71,25.2,1007.82,,1.97,0.214915
123,49,22.08,95.73,1011.57,,16.17,0.892034
22,40,29.98,30.23,1011.97,,11.23,0.234488
113,30,27.08,87.9,1003.04,0.03,16.77,0.556501
18,38,26.81,69.43,1014.36,0,0,0.778232
53,34,37.95,9.33,1001.92,,0,0.039913
-22,34,23.28,72.03,1022.87,0,37.13,0.803388
-62,39,25.01,89.97,1014.7,2.05,100,0.758809
12,37,25.15,81.23,1016.94,0,18.33,0.656278
14,46,24.11,47.5,1018.88,,0,0.599603
-21,38,22.15,79.57,1019.22,0,41.13,0.648127
119,43,26.61,53.13,1009.8,,85.47,0.463596
-2,42,31.55,27.83,1016.19,0,0.63,0.290446
87,34,14.28,40.67,993.43,0.01,100,0.280555
124,41,22.01,93.47,1014.47,,96,0.720022
-58,36,26.21,83.7,1022.44,0.06,94.9,0.772313
94,48,28.98,16.1,1001.2,,0,0.10503
-36,46,16.68,77.07,1020.88,0,68.97,0.731493
7,48,23.28,51.4,1020.01,0.01,41.23,0.675736
-41,36,22.88,60.53,1026.02,,,0.683674
-17,34,21.35,77.5,1022.45,,,0.937805
70,31,25.01,55.53,999.03,0.49,41.1,0.382034
10,49,22.58,52.03,1021.2,,1.2,0.690983
103,30,21.88,93.3,1003.87,0.98,3.17,0.889075
107,32,23.18,87.57,1003.35,0.09,46.43,0.75174
0,43,25.31,49.97,1019.24,0.1,6.73,0.653924
-49,39,25.11,85.07,1023.52,0.72,0,0.806524
20,41,33.55,25,1011.67,,3.2,0.09417
60,48,34.41,18.53,1004.68,,67.43,0.111386
78,34,9.15,56.37,1001.16,0.08,96.7,0.673901
6,38,26.65,68.37,1018.39,,,0.778874
81,30,6.31,99.07,1008.57,0.25,99.13,0.342264
20,41,33.55,25,1011.67,,3.2,0.09417
-54,30,26.88,73.87,1025.39,0.06,3.83,0.661922
26,39,28.28,64.03,1008.62,,14.3,0.563131
73,28,38.41,35.73,992.23,,55.57,0.459912
-31,49,15.21,93.53,1016.94,,35.07,0.702023
-50,39,25.25,85.8,1023.09,0,0,0.71785
99,27,13.15,93.6,1007.39,0.57,100,0.338598
-48,29,26.35,68.3,1026.2,,2.27,0.649273
-63,34,26.65,81.2,1021.51,0.09,87.9,0.854871
62,40,39.25,11.27,999.68,,1.6,0.00913
45,47,42.01,10.77,1000.31,0.01,31.5,0.093322
107,45,30.35,29.17,1000.68,0,33.33,0.226944
106,47,14.85,91,1008.46,0.48,96.23,0.37856
-16,31,20.71,82.47,1020.69,,,0.760449
8,26,39.28,10.9,1008.78,,98,0.011033
-24,32,22.98,70.17,1023.96,0,4.27,0.563693
101,45,18.98,67.73,1006.28,,40.13,0.731027
-31,40,19.81,70.97,1021.37,0.03,68.33,0.713513
111,44,31.15,28.2,1003.23,,100,0.194005
104,36,24.35,46.8,1000.63,,2.87,0.259879
88,30,5.55,81.97,1006.53,0.05,100,0.53467
-49,28,26.71,66.47,1025.78,0,0.03,0.510614
5,48,22.55,64.67,1021.2,,6.4,0.591107
-37,38,21.51,73.07,1024.64,0.04,63.53,0.763865
-40,45,18.65,80.53,1021.48,,36.67,0.781592
-55,28,26.75,72.1,1024.86,0.02,6.67,0.634856
25,43,25.61,34.63,1013.83,,16.26,0.421167
9,27,40.98,9.83,1010.02,,0,0.091142
73,31,35.38,46.4,992.82,0,3.73,0.120963
